codigo,nombre,precio,cantidad_bulto,vendor,proveedor,category,tags,imagen
DCH-AMF5,PERFUME club de nuit ICONIC,10.0,48,LAMB,DCH,Perfume,"perfume, iconic",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-AMF5.jpg
DCH-AMF6,PERFUME club de nuit URBAN,10.0,48,LAMB,DCH,Perfume,"perfume, urban, exilir",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-AMF6.jpg
DCH-AMF7,PERFUME club de nuit MALEKA,10.0,48,LAMB,DCH,Perfume,"perfume, maleka",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-AMF7.jpg
DCH-HER1,PERFUME LATTAFA HER,15.6,48,LAMB,DCH,Perfume,"perfume, lattafa, confession",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-HER1.jpg
DCH-HER2,PERFUME LATTAFA HIS,15.6,48,LAMB,DCH,Perfume,"perfume, lattafa, confession",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-HER2.jpg
DCH-CJW2522,MINI PERFUMERO PORTÁTIL,0.38,1200,LAMB,DCH,Perfume,"perfumero, recargable",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-CJW2522.jpg
DCH-C39800,PAULINE 23ml PERSONAJE,0.28,1200,LAMB,DCH,General,"pauline, personaje",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-C39800.jpg
DCH-C39801,MASCARILLA FACIAL STITCH,0.28,1200,LAMB,DCH,Belleza,"mascarilla, facial, stitch, modelos",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-C39801.jpg
DCH-LT562L,ESMALTE CHARM LIMIT,0.47,360,LAMB,DCH,General,"esmalte, charm, limit, semipermanente, colores",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-LT562L.jpg
DCH-C37203,ESMALTE TYM-81033,0.55,576,LAMB,DCH,General,"esmalte, personaje",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-C37203.jpg
DCH-APF51,PERFUME PF51 FLOWER,0.45,576,LAMB,DCH,Perfume,"perfume, flower, rococo",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-APF51.jpg
DCH-C44820,MASCARILLA NASAL para,0.13,2400,LAMB,DCH,Belleza,"mascarilla, nasal, puntos, negros, pilaten",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-C44820.jpg
DCH-C44823,para LABIOS HIDRATATE,1.76,100,LAMB,DCH,General,"labios, hidratate",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-C44823.jpg
DCH-CK1076,RHODIALA GINSENG 8EN1,6.0,200,LAMB,DCH,General,"rhodiala, ginseng",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-CK1076.jpg
DCH-CYS25295,TECH LT-25S04 ALTA,14.0,36,LAMB,DCH,General,,https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-CYS25295.jpg
DCH-CK1022,PLANCHITAS DE PELO,1.8,120,LAMB,DCH,General,"planchitas, flequillo",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-CK1022.jpg
DCH-AYS25147,CERAMICA LAMBO TECH,6.2,70,LAMB,DCH,General,"ceramica, lambo",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-AYS25147.jpg
DCH-CK1074,MASCARA FACIAL,13.4,20,LAMB,DCH,Belleza,"mascara, facial, fototerapia",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-CK1074.jpg
DCH-CYS25254,FACIAL Y PAPADA EMS LAMBO,7.6,100,LAMB,DCH,Belleza,"facial, papada, lambo",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-CYS25254.jpg
DCH-CYS25255,PARA FACIAL PAPADA LT-,7.5,60,LAMB,DCH,Belleza,"facial, papada",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-CYS25255.jpg
DCH-AYS25164,YS25-164 S-022 MICRO PULSO,3.0,200,LAMB,DCH,Tecno,"micro, pulso, electrico, recargable",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-AYS25164.jpg
DCH-AYS253,MICROCORRIENTE,5.9,120,LAMB,DCH,Tecno,microcorriente,https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-AYS253.jpg
DCH-AYS2531,MASAJEADOR LIMPIADOR,10.0,50,LAMB,DCH,Belleza,"masajeador, limpiador, facial, fototerapia, recargable",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-AYS2531.jpg
DCH-CK1069,ULTRASONICO FOTOTERAPIA,12.8,60,LAMB,DCH,Tecno,"ultrasonico, fototerapia",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-CK1069.jpg
DCH-AYS2558,ESPATULA LIMPIEZA FACIAL,3.35,100,LAMB,DCH,Belleza,"espatula, limpieza, facial, ultrasonica, recargable",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-AYS2558.jpg
DCH-AYS2561,EN FRIO ICE ROLLER,3.5,120,LAMB,DCH,General,roller,https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-AYS2561.jpg
DCH-AYS25139,MASAJEADOR FACIAL FRIO,2.25,200,LAMB,DCH,Belleza,"masajeador, facial",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-AYS25139.jpg
DCH-AYS25208,RODILLO MASAJEADOR FACIAL,2.2,180,LAMB,DCH,Belleza,"rodillo, masajeador, facial, silicona, lambo",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-AYS25208.jpg
DCH-CK1090,PERFILADORES DE CEJAS,0.3,1200,LAMB,DCH,General,"perfiladores, cejas",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-CK1090.jpg
DCH-CYS25265,AFEITADORA FEMENINA 4en1,7.15,120,LAMB,DCH,Tecno,"afeitadora, femenina, lambo, recargable",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-CYS25265.jpg
DCH-CYS25305,INTIMA FEMENINA DOBLE,5.4,160,LAMB,DCH,General,"intima, femenina, doble",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-CYS25305.jpg
DCH-CYS25308,DEPILADORA FACIAL CEJAS,2.6,200,LAMB,DCH,Belleza,"depiladora, facial, cejas, recargable",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-CYS25308.jpg
DCH-CK1007CK1025,DEPILADORA LASER IPL LAMBO,16.5,36,LAMB,DCH,General,"depiladora, laser, lambo, blanca",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-CK1007CK1025.jpg
DCH-CK1026,LAMBO TECH c/VISOR LED,20.0,30,LAMB,DCH,General,"lambo, visor",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-CK1026.jpg
DCH-LT25D03,DEPILADORA FACIAL 2EN1,2.8,300,LAMB,DCH,Belleza,"depiladora, facial, recargable",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-LT25D03.jpg
